neighborhood_code;neighborhood_names;total_destruction
BU04849404;Buitengebied Hazerswoude-Rijndijk;6.0
BU04849601;Buitengebied Koudekerk aan den Rijn;3.0
BU04849602;Koudekerk aan den Rijn-Noord;3.0
BU04849603;Koudekerk aan den Rijn-Zuid;1.0
BU04849604;Bedrijventerrein Hoogewaard;0.0
BU17230000;Alphen;3.0
BU17230001;Villawijk 't Zand;1.0
BU17230009;Buitengebied Alphen;3.0
BU17230100;Chaam;4.0
BU17230108;Verspreide huizen in het Noordoosten;5.0
BU17230109;Verspreide huizen in het Zuidwesten;2.0
BU17230200;Galder;1.0
BU17230208;Verspreide huizen Galder;0.0
BU17230209;Verspreide huizen Strijbeek;1.0
BU17230809;Verspreide huizen Ulvenhout;0.0
BU17230909;Verspreide huizen Bavel;2.0
BU00600000;Nes;4.0
BU00600001;Buren;1.0
BU00600002;Ballum;3.0
BU00600003;Hollum;0.0
BU00600007;Verspreide huizen Ballum;0.0
BU00600008;Verspreide huizen Nes;1.0
BU00600009;Verspreide huizen Hollum;1.0
BU03070100;Hof;61.0
BU03070101;Nieuwstraat;5.0
BU03070102;Mooierstraat;0.0
BU03070103;Lieve Vrouwekerkhof;7.0
BU03070104;Coninckstraat;7.0
BU03070105;Beestenmarkt;9.0
BU03070106;Grote Haag;14.0
BU03070107;Stadhuisplein;15.0
BU03070108;Schimmelpenninckstraat;2.0
BU03070200;Smallepad;32.0
BU03070202;Snouckaertlaan;1.0
BU03070204;Zonnehof;2.0
BU03070205;Weltevreden;0.0
BU03070206;Bloemweg;3.0
BU03070300;Rivierenbuurt-Oost;15.0
BU03070301;Rivierenbuurt-West;6.0
BU03070302;G. van Stellingwerfstraat;4.0
BU03070303;Bloemenbuurt-Oost;12.0
BU03070304;Bloemenbuurt-West;13.0
BU03070305;Bomenbuurt;9.0
BU03070306;Puntenburg;12.0
BU03070307;Piet Mondriaanlaan;4.0
BU03070401;Eemplein;19.0
BU03070402;Geldersestraat;2.0
BU03070403;Chromiumweg;3.0
BU03070404;Uraniumweg;3.0
BU03070500;Birkhoven/Bokkeduinen;6.0
BU03070501;Vlasakkers;20.0
BU03070502;Zon en Schild;16.0
BU03070600;Jericho en Jeruzalem;5.0
BU03070601;Meridiaan;12.0
BU03070603;Gildekwartier;9.0
BU03070700;Evertsenstraat;49.0
BU03070701;Neptunusplein;19.0
BU03070702;Columbusweg;10.0
BU03070800;Vuurtoren;9.0
BU03070801;De Plaatsen;19.0
BU03070803;Koperhorst;7.0
BU03070900;Elly Takmastraat;10.0
BU03070902;Camera Obscurastraat;5.0
BU03070903;Queekhoven;16.0
BU03070905;Het Gein;4.0
BU03071000;Liendertsedreef;6.0
BU03071001;Vinkenbaan;8.0
BU03071002;De Horsten;15.0
BU03071003;Albatrosstraat;11.0
BU03071004;Zwaluwenstraat;6.0
BU03071100;Rustenburg-Noord;6.0
BU03071101;Rustenburg-Zuid;5.0
BU03071201;Bloeidaal;0.0
BU03071202;Stoutenburgerlaan;4.0
BU03071300;Romeostraat;13.0
BU03071301;Ariaweg;5.0
BU03071302;Verdiweg;6.0
BU03071400;Willem III;3.0
BU03071401;Randenbroekerweg;8.0
BU03071402;Bachweg-Zuid;13.0
BU03071403;Weberstraat;17.0
BU03071500;Bekenstein en De Luiaard;7.0
BU03071501;Rubensstraat;13.0
BU03071502;Albert Cuypstraat;8.0
BU03071503;Dorrestein;1.0
BU03071600;De Driehoek;8.0
BU03071601;Voltastraat;10.0
BU03071602;Bosweg;11.0
BU03071603;Nimmerdor;0.0
BU03071700;Westerstraat;6.0
BU03071701;Juliana van Stolberg;5.0
BU03071702;Huygenslaan;3.0
BU03071703;De Lichtenberg;6.0
BU03071704;Verhoevenstraat;5.0
BU03071705;Indische Buurt;2.0
BU03071706;Curacaolaan;8.0
BU03071707;Klein Zwitserland;0.0
BU03071800;Regentesselaan;6.0
BU03071801;Station Berkenweg;4.0
BU03071802;Thorbeckeplein;8.0
BU03071803;Mr. Th. Heemskerklaan;3.0
BU03071804;Oranjelaan;0.0
BU03071900;De Ham;6.0
BU03071901;Langenoord;6.0
BU03071902;Bieshaar-Noord;5.0
BU03071903;Bieshaar-Zuid;17.0
BU03071904;De Bik;5.0
BU03071905;De Brinken;2.0
BU03071906;De Biezen;0.0
BU03072000;Vlinderbuurt;1.0
BU03072001;Erasmusstraat;6.0
BU03072002;Muziekbuurt-Noord;9.0
BU03072003;Muziekbuurt-Zuid;10.0
BU03072004;Architectenbuurt-Oost;1.0
BU03072005;Architectenbuurt-West;10.0
BU03072100;Stille Steeg;3.0
BU03072101;Amaniet;1.0
BU03072102;Woudzoom;9.0
BU03072103;Gesloten Stad;5.0
BU03072104;De Verwondering;11.0
BU03072105;Emiclaer;15.0
BU03072106;Groote Kreek;2.0
BU03072107;Het Hallehuis;0.0
BU03072108;De Horizon;9.0
BU03072201;Calveen;5.0
BU03072300;Park Schothorst-Zuid;5.0
BU03072400;Stadskwartier;8.0
BU03072402;Hoge Hoven;6.0
BU03072403;Centrum-Wat;8.0
BU03072404;Stadstuin;5.0
BU03072405;Waterkwartier;5.0
BU03072407;Lage Hoven;6.0
BU03072500;De Hoef-West;6.0
BU03072502;De Wieken;0.0
BU03072503;Vinkenhoef;1.0
BU03072504;Nijkerkerstraat;1.0
BU03072506;Podium;0.0
BU03072600;Dorpskern Hooglanderveen;8.0
BU03072601;Lient;8.0
BU03072602;Hoekveen;3.0
BU03072603;Heideweg;0.0
BU03072700;Coelhorst;2.0
BU03072701;Zeldert;1.0
BU03072709;Maatweg;5.0
BU03072800;Leersumseberg;5.0
BU03072801;Emminkhuizerberg;3.0
BU03072802;Sprengenberg;6.0
BU03072803;Duisterweg;3.0
BU03072804;Cycladen;3.0
BU03072900;Roevoeterstraat;3.0
BU03072901;Winkelcentrum;7.0
BU03072902;Damespolder;2.0
BU03073000;De Bron Noord;4.0
BU03073001;De Bron Zuid;1.0
BU03073101;Hoornplantsoen;2.0
BU03073102;Muidenkade;2.0
BU03073103;Hogesteeg;7.0
BU03073108;Vathorst-Noord;1.0
BU03620101;Randwijck West;6.0
BU03620102;Randwijck Oost;9.0
